time,ax,ay,az
3.946,0.81,-0.15,-1.03
3.950,0.95,-0.30,-1.09
3.956,0.95,-0.34,-1.15
3.961,0.84,-0.52,-1.11
3.966,0.64,-0.51,-0.97
3.971,0.50,-0.46,-0.91
3.980,0.29,-0.42,-0.88
3.983,0.11,-0.39,-0.90
3.986,-0.08,-0.28,-0.74
3.992,-0.22,-0.11,-0.57
4.008,-0.40,-0.07,-0.45
4.010,-0.58,0.03,-0.41
4.011,-0.84,0.01,-0.19
4.012,-1.04,0.00,-0.04
4.016,-1.07,-0.01,0.00
4.021,-1.23,-0.10,0.09
4.027,-1.35,-0.03,0.21
4.028,-1.34,-0.00,0.15
4.031,-1.43,0.04,0.32
4.036,-1.45,0.00,0.25
4.041,-1.41,0.11,0.27
4.046,-1.27,0.24,0.21
4.051,-1.25,0.11,0.25
4.056,-1.19,0.04,0.22
4.061,-1.15,0.08,0.14
4.066,-1.06,0.07,0.02
4.072,-0.94,0.04,-0.02
4.083,-0.83,0.00,-0.12
4.086,-0.84,-0.04,-0.10
4.088,-0.77,-0.01,-0.31
4.092,-0.69,-0.02,-0.37
4.135,-0.66,0.06,-0.39
4.138,-0.63,-0.08,-0.58
4.140,-0.58,-0.10,-0.72
4.142,-0.51,-0.07,-0.71
4.144,-0.47,-0.14,-0.80
4.146,-0.49,-0.07,-0.95
4.148,-0.38,-0.05,-0.92
4.150,-0.22,-0.05,-0.97
4.152,-0.19,-0.04,-1.08
4.154,-0.19,-0.07,-1.10
4.156,-0.17,-0.05,-1.10
4.158,-0.16,-0.08,-1.10
4.161,-0.13,-0.06,-1.10
4.164,-0.21,-0.07,-1.10
4.168,-0.22,-0.04,-1.12
4.173,-0.31,-0.10,-1.06
4.190,-0.36,-0.11,-1.05
4.192,-0.45,-0.09,-1.03
4.193,-0.53,-0.10,-0.99
4.194,-0.65,-0.12,-0.96
4.198,-0.73,-0.23,-0.97
4.202,-0.79,-0.26,-1.00
4.208,-0.76,-0.26,-0.99
4.230,-0.70,-0.20,-1.01
4.232,-0.63,-0.25,-1.02
4.233,-0.71,-0.19,-1.10
4.238,-0.75,-0.20,-1.21
4.239,-0.76,-0.19,-1.30
4.241,-0.83,-0.07,-1.37
4.243,-0.83,-0.10,-1.46
4.248,-0.88,-0.13,-1.59
4.253,-0.94,-0.11,-1.69
4.258,-1.01,-0.16,-1.75
4.263,-1.10,-0.08,-1.84
4.268,-1.15,-0.10,-1.85
4.273,-1.16,-0.12,-1.83
4.286,-1.12,-0.09,-1.87
4.288,-1.06,-0.09,-1.87
4.288,-1.01,-0.12,-1.74
4.294,-0.98,-0.10,-1.55
4.315,-0.95,-0.02,-1.41
4.316,-0.92,-0.02,-1.33
4.318,-0.90,0.01,-1.10
4.319,-0.90,0.04,-0.93
4.320,-0.92,0.02,-0.83
4.323,-0.93,0.02,-0.68
4.328,-0.93,0.01,-0.52
4.334,-0.94,-0.06,-0.41
4.338,-0.91,-0.15,-0.28
4.343,-0.93,-0.19,-0.15
4.349,-1.03,-0.29,-0.01
4.353,-1.07,-0.40,0.01
4.358,-1.06,-0.51,-0.01
4.363,-1.03,-0.62,0.01
4.368,-1.03,-0.73,0.03
4.374,-1.02,-0.80,0.09
4.383,-1.00,-0.86,0.12
4.385,-0.98,-1.04,0.16
4.388,-0.94,-1.25,0.21
4.394,-0.96,-1.42,0.23
4.412,-0.99,-1.54,0.20
4.415,-0.97,-1.62,0.16
4.417,-0.90,-1.74,0.14
4.418,-0.84,-1.80,0.08
4.419,-0.83,-1.76,0.03
4.424,-0.81,-1.81,-0.15
4.429,-0.76,-1.95,-0.43
4.434,-0.70,-2.05,-0.61
4.439,-0.73,-2.09,-0.89
4.444,-0.91,-2.07,-1.36
4.449,-1.17,-2.11,-1.90
4.454,-1.45,-2.12,-2.53
4.460,-1.85,-2.14,-3.30
4.464,-2.30,-2.16,-4.19
4.469,-2.74,-2.01,-5.15
4.474,-3.19,-1.88,-5.90
4.485,-3.51,-1.76,-6.10
4.487,-3.61,-1.69,-5.71
4.489,-3.55,-1.62,-4.96
4.494,-3.38,-1.59,-4.05
4.521,-3.13,-1.58,-3.17
4.523,-2.96,-1.63,-2.49
4.524,-2.82,-1.76,-2.03
4.525,-2.73,-1.88,-1.58
4.526,-2.68,-1.95,-1.36
4.527,-2.65,-1.98,-1.18
4.530,-2.61,-1.98,-1.09
4.534,-2.52,-2.09,-1.04
4.539,-2.43,-2.15,-1.07
4.544,-2.33,-2.22,-1.13
4.550,-2.14,-2.33,-1.29
4.556,-1.99,-2.36,-1.58
4.559,-1.58,-2.45,-2.07
4.564,-0.98,-2.49,-2.70
4.569,-0.30,-2.55,-3.55
4.575,0.41,-2.44,-4.44
4.585,1.19,-2.30,-5.25
4.588,1.90,-2.17,-5.85
4.590,2.44,-2.05,-6.05
4.595,2.66,-1.88,-5.61
4.617,2.83,-1.83,-4.62
4.618,2.72,-1.83,-3.26
4.619,2.53,-1.86,-1.65
4.619,2.20,-1.80,-0.06
4.620,1.95,-1.69,1.26
4.624,1.85,-1.59,2.41
4.630,1.79,-1.60,3.21
4.634,1.82,-1.51,3.75
4.640,1.95,-1.63,4.11
4.644,2.07,-1.90,4.41
4.651,2.10,-2.03,4.70
4.655,2.15,-2.29,4.96
4.660,2.17,-2.69,5.20
4.669,2.27,-2.83,5.52
4.670,2.41,-3.05,5.85
4.675,2.34,-3.08,6.16
4.698,2.30,-3.11,6.48
4.702,2.16,-2.96,6.74
4.703,2.32,-2.67,6.80
4.704,2.40,-2.27,7.05
4.705,2.50,-2.01,7.35
4.706,2.75,-1.55,7.25
4.711,3.03,-1.19,6.80
4.716,3.13,-0.86,6.14
4.721,3.14,-0.58,4.51
4.726,1.84,-0.53,-3.05
4.739,0.12,-0.87,-8.81
4.741,-0.35,-1.24,-9.16
4.744,-0.32,-1.59,-7.35
4.748,-0.05,-1.83,-4.96
4.751,-0.28,-1.94,-2.53
4.756,-0.50,-2.01,-0.28
4.761,-0.78,-1.95,1.88
4.766,-1.40,-1.70,3.57
4.771,-1.88,-1.39,5.16
4.775,-2.08,-0.96,6.03
4.781,-2.53,-0.57,6.18
4.786,-2.49,-0.33,6.01
4.790,-2.47,-0.09,5.16
4.795,-2.46,0.04,4.42
4.801,-1.83,0.09,3.52
4.806,-0.91,-0.05,2.92
4.812,0.17,-0.09,2.64
4.831,1.29,-0.18,2.38
4.833,1.76,-0.25,2.62
4.834,2.29,-0.44,2.67
4.836,2.73,-0.33,2.80
4.837,3.05,-0.28,2.96
4.841,3.35,-0.30,3.05
4.842,3.41,-0.26,3.09
4.846,3.45,-0.24,3.12
4.851,3.39,0.02,3.24
4.856,3.42,0.19,3.06
4.861,3.32,0.27,3.14
4.870,3.32,0.54,3.31
4.872,3.11,0.74,3.37
4.876,2.93,0.78,3.39
4.905,2.88,0.95,3.53
4.907,2.85,1.11,3.38
4.908,2.85,1.21,3.50
4.909,2.69,1.25,3.53
4.910,2.81,1.40,3.49
4.911,2.78,1.60,3.53
4.912,2.66,1.65,3.32
4.917,2.56,1.71,3.31
4.922,2.55,1.75,3.04
4.927,2.58,1.93,2.83
4.933,2.69,1.92,2.63
4.937,2.59,1.96,2.54
4.941,2.50,1.89,2.46
4.947,2.23,1.93,2.40
4.952,1.95,1.90,2.39
4.957,1.75,1.84,2.40
4.962,1.56,1.75,2.30
4.971,1.39,1.64,2.07
4.973,1.06,1.51,1.97
4.977,0.68,1.29,1.78
4.982,0.51,1.22,1.60
5.006,0.49,1.13,1.25
5.008,0.45,1.10,0.97
5.009,0.33,1.04,0.55
5.010,0.28,1.04,0.30
5.012,0.19,1.06,0.14
5.013,0.02,0.93,-0.03
5.017,-0.15,0.91,-0.25
5.022,-0.33,0.91,-0.33
5.027,-0.47,0.91,-0.32
5.032,-0.70,0.93,-0.41
5.037,-0.93,0.79,-0.42
5.043,-1.08,0.77,-0.43
5.047,-1.06,0.86,-0.48
5.053,-1.00,0.80,-0.48
5.057,-1.05,0.75,-0.45
5.063,-1.14,0.75,-0.48
5.072,-1.19,0.65,-0.57
5.073,-1.19,0.53,-0.82
5.077,-1.30,0.39,-1.05
5.084,-1.59,0.25,-1.48
5.094,-1.76,0.06,-1.93
5.097,-1.84,-0.10,-2.34
5.097,-1.99,-0.27,-2.74
5.103,-2.01,-0.53,-3.02
5.108,-1.82,-0.80,-3.20
5.113,-1.68,-1.09,-3.41
5.117,-1.72,-1.39,-3.55
5.123,-1.78,-1.69,-3.61
5.127,-1.77,-1.91,-3.80
5.133,-1.81,-2.07,-3.97
5.138,-1.95,-2.25,-4.06
5.143,-2.04,-2.34,-4.00
5.153,-2.04,-2.35,-3.82
5.155,-2.00,-2.38,-3.61
5.158,-1.94,-2.34,-3.14
5.164,-1.83,-2.18,-2.56
5.169,-1.64,-2.01,-1.98
5.174,-1.46,-1.68,-1.41
5.182,-1.29,-1.30,-0.87
5.184,-1.07,-0.91,-0.30
5.190,-0.87,-0.48,0.23
5.194,-0.70,-0.17,0.71
5.199,-0.56,0.10,1.16
5.209,-0.38,0.42,1.58
5.211,-0.17,0.71,1.95
5.214,0.09,0.97,2.23
5.256,0.47,1.14,2.50
5.259,0.99,1.14,2.81
5.266,1.53,1.00,3.19
5.270,2.00,0.74,3.51
5.271,2.55,0.32,3.55
5.273,3.12,-0.18,3.45
5.276,3.54,-0.64,3.25
5.278,3.85,-1.16,3.10
5.279,3.92,-1.67,2.87
5.279,3.76,-2.10,2.26
5.280,3.26,-2.50,1.24
5.281,2.26,-2.90,-0.63
5.282,1.00,-3.41,-3.17
5.286,-0.13,-4.02,-5.25
5.290,-0.98,-4.61,-5.81
5.298,-1.25,-5.11,-4.55
5.299,-0.74,-5.63,-2.36
5.307,0.62,-5.96,-0.08
5.308,2.06,-6.07,1.37
5.314,3.05,-5.93,2.15
5.331,3.59,-5.41,2.58
5.333,3.62,-4.69,2.86
5.333,3.36,-3.75,3.25
5.334,3.05,-2.60,3.81
5.340,2.76,-1.47,4.40
5.344,2.69,-0.44,4.81
5.349,2.84,0.68,4.98
5.357,3.04,1.55,5.01
5.359,3.29,2.12,5.08
5.364,3.59,2.67,5.10
5.386,3.64,3.10,5.07
5.388,3.66,3.39,4.80
5.392,3.58,3.66,4.58
5.393,3.16,3.69,4.42
5.394,2.70,3.56,4.49
5.395,2.21,3.01,4.62
5.400,1.76,2.10,4.71
5.420,1.59,1.07,4.65
5.422,1.61,0.03,4.52
5.422,1.61,-1.07,4.25
5.424,1.61,-1.97,3.87
5.425,1.59,-2.64,3.49
5.430,1.40,-3.21,3.09
5.435,1.23,-3.50,2.65
5.440,1.03,-3.76,2.19
5.448,0.73,-3.78,1.64
5.450,0.44,-3.60,1.29
5.455,0.21,-3.53,1.11
5.460,-0.10,-3.22,1.12
5.465,-0.27,-2.80,1.43
5.471,-0.40,-2.40,1.64
5.479,-0.25,-1.88,1.98
5.480,-0.12,-1.34,2.37
5.486,-0.05,-1.00,2.50
5.495,0.12,-0.68,2.65
5.497,0.18,-0.38,2.71
5.500,0.26,-0.14,2.59
5.533,0.30,0.00,2.65
5.535,0.28,0.13,2.69
5.536,0.40,0.00,2.74
5.538,0.28,0.01,2.64
5.539,0.26,0.03,2.50
5.542,0.25,-0.04,2.30
5.543,0.26,-0.20,2.14
5.544,0.23,-0.20,1.83
5.547,0.21,-0.19,1.57
5.551,0.21,-0.11,1.22
5.556,0.12,-0.11,0.90
5.561,0.03,0.07,0.66
5.595,0.07,0.25,0.27
5.598,-0.05,0.29,-0.08
5.600,-0.03,0.47,-0.32
5.601,0.01,0.50,-0.40
5.602,0.28,0.48,-0.50
5.604,0.23,0.55,-0.43
5.605,0.39,0.56,-0.51
5.606,0.35,0.48,-0.44
5.607,0.30,0.40,-0.29
5.636,0.22,0.39,-0.37
5.639,0.11,0.34,-0.27
5.641,0.02,0.23,-0.22
5.643,-0.28,0.25,-0.10
5.644,-0.48,0.18,-0.08
5.645,-0.68,0.13,-0.01
5.647,-0.89,0.10,0.09
5.648,-1.06,0.07,0.07
5.651,-1.28,0.14,0.09
5.652,-1.49,0.06,0.15
5.656,-1.58,0.04,0.25
5.661,-1.73,0.05,-0.00
5.666,-1.83,-0.13,0.06
5.671,-1.89,-0.11,0.04
5.676,-1.92,-0.07,0.00
5.681,-1.80,-0.10,0.04
5.686,-1.67,0.04,0.10
5.694,-1.48,0.28,-0.03
5.697,-1.31,0.35,-0.16
5.701,-1.15,0.44,-0.25
5.726,-0.99,0.50,-0.25
5.727,-0.88,0.62,-0.41
5.728,-0.74,0.66,-0.54
5.728,-0.58,0.81,-0.65
5.732,-0.45,0.75,-0.67
5.735,-0.35,0.75,-0.79
5.737,-0.25,0.77,-0.83
5.741,-0.24,0.54,-0.90
5.747,-0.29,0.46,-0.98
5.751,-0.29,0.41,-1.15
5.756,-0.30,0.32,-1.16
5.761,-0.15,0.29,-1.18
5.766,0.04,0.23,-1.30
5.780,0.19,0.26,-1.24
5.781,0.32,0.30,-1.43
5.782,0.40,0.42,-1.45
5.787,0.56,0.46,-1.56
5.812,0.71,0.58,-1.66
5.814,0.79,0.53,-1.72
5.815,0.80,0.53,-1.76
5.816,0.83,0.52,-1.86
5.817,0.84,0.49,-1.85
5.818,0.92,0.43,-1.78
5.824,0.98,0.42,-1.72
5.829,0.83,0.21,-1.62
5.832,0.66,0.00,-1.61
5.837,0.48,-0.19,-1.55
5.843,0.37,-0.33,-1.51
5.847,0.29,-0.52,-1.52
5.853,0.18,-0.76,-1.40
5.857,0.08,-0.87,-1.35
5.863,-0.05,-0.89,-1.35
5.867,-0.18,-0.92,-1.35
5.872,-0.34,-0.88,-1.39
5.880,-0.58,-0.79,-1.45
5.883,-0.79,-0.79,-1.52
5.888,-1.05,-0.79,-1.56
5.917,-1.28,-0.63,-1.63
5.919,-1.53,-0.51,-1.71
5.920,-1.72,-0.53,-1.67
5.921,-1.85,-0.51,-1.68
5.923,-1.95,-0.46,-1.66
5.924,-2.02,-0.49,-1.54
5.925,-2.01,-0.52,-1.47
5.929,-1.95,-0.57,-1.41
5.933,-1.88,-0.70,-1.30
5.938,-1.71,-0.89,-1.22
5.943,-1.48,-1.02,-1.07
5.948,-1.27,-1.12,-0.98
5.953,-1.06,-1.20,-0.97
5.958,-0.97,-1.32,-0.88
5.963,-0.91,-1.49,-0.80
5.968,-0.79,-1.57,-0.83
5.973,-0.64,-1.66,-0.75
5.979,-0.49,-1.76,-0.72
5.983,-0.29,-1.90,-0.76
5.988,-0.06,-2.05,-0.77
6.002,0.10,-2.26,-0.86
6.004,0.16,-2.50,-0.96
6.004,0.12,-2.66,-1.11
6.008,0.07,-2.81,-1.40
6.013,-0.08,-2.86,-1.71
6.018,-0.39,-2.73,-2.07
6.023,-0.82,-2.52,-2.57
6.028,-1.28,-2.29,-2.99
6.033,-1.75,-2.09,-3.27
6.038,-2.14,-2.04,-3.60
6.043,-2.45,-2.00,-3.86
6.048,-2.82,-1.96,-4.10
6.055,-3.16,-2.04,-4.25
6.060,-3.44,-2.09,-4.22
6.064,-3.73,-2.17,-4.22
6.069,-3.97,-2.26,-4.08
6.074,-4.14,-2.31,-3.74
6.080,-4.21,-2.44,-3.58
6.085,-4.07,-2.62,-3.54
6.090,-3.89,-2.85,-3.62
6.099,-3.66,-3.22,-3.98
6.101,-3.31,-3.71,-4.90
6.104,-2.65,-4.25,-6.11
6.130,-1.83,-4.86,-7.26
6.132,-0.96,-5.08,-7.73
6.133,-0.19,-4.88,-7.21
6.134,0.44,-4.39,-5.82
6.134,0.80,-3.79,-3.98
6.135,0.99,-3.06,-2.17
6.139,0.99,-2.43,-0.58
6.144,0.99,-1.99,0.67
6.149,0.90,-1.60,1.52
6.154,0.99,-1.35,2.04
6.159,1.16,-1.22,2.23
6.164,1.39,-1.15,2.42
6.169,1.61,-1.19,2.73
6.174,1.69,-1.28,3.05
6.181,1.80,-1.38,3.27
6.185,1.87,-1.55,3.46
6.190,1.97,-1.70,3.61
6.241,2.10,-1.89,3.75
6.243,2.27,-1.97,3.92
6.244,2.47,-2.09,3.96
6.246,2.61,-2.22,4.17
6.248,2.65,-2.28,4.65
6.249,2.62,-2.21,5.20
6.250,2.60,-2.07,5.62
6.256,2.57,-1.74,5.95
6.257,2.84,-1.46,6.03
6.260,2.96,-1.10,5.70
6.262,3.32,-0.88,5.30
6.264,3.74,-0.56,4.95
6.267,4.04,-0.40,4.38
6.268,4.15,-0.06,3.72
6.270,3.94,0.09,1.02
6.271,2.66,-0.08,-8.34
6.275,1.75,-0.50,-11.09
6.287,1.34,-0.62,-10.26
6.288,1.22,-0.90,-8.09
6.290,1.06,-1.06,-5.44
6.327,1.08,-1.23,-3.13
6.329,0.65,-1.34,-1.21
6.331,0.09,-1.46,0.95
6.332,-0.39,-1.28,3.03
6.333,-1.01,-0.95,4.95
6.334,-1.96,-0.43,6.37
6.336,-2.37,0.07,7.09
6.337,-2.61,0.48,7.12
6.341,-2.46,0.66,6.30
6.343,-2.15,0.79,5.21
6.345,-1.47,0.61,4.06
6.350,-0.60,0.49,3.17
6.355,0.08,0.18,2.47
6.361,0.92,0.22,1.99
6.366,1.62,0.24,1.96
6.371,2.26,0.22,1.86
6.376,2.61,0.24,1.99
6.381,2.74,0.24,2.10
6.386,2.85,0.26,2.34
6.391,2.89,0.34,2.43
6.400,2.82,0.46,2.51
6.402,2.72,0.51,2.50
6.406,2.59,0.59,2.37
6.444,2.39,0.51,2.37
6.445,2.12,0.67,2.61
6.446,1.96,0.67,2.50
6.447,1.68,0.79,2.64
6.449,1.39,0.88,2.56
6.450,1.16,0.95,2.63
6.451,0.95,1.02,2.58
6.452,0.96,1.12,2.54
6.453,0.98,1.19,2.26
6.456,0.83,1.26,2.09
6.461,0.81,1.36,1.97
6.466,1.03,1.41,1.76
6.467,1.13,1.56,1.69
6.471,1.12,1.53,1.52
6.476,1.17,1.67,1.37
6.482,1.01,1.73,1.25
6.486,1.04,1.68,1.09
6.492,0.95,1.78,1.14
6.503,0.81,1.83,1.12
6.507,0.50,1.82,0.94
6.509,0.50,1.94,0.81
6.557,0.52,1.95,0.74
6.559,0.55,2.01,0.89
6.562,0.58,2.03,0.99
6.563,0.29,2.14,1.09
6.564,0.15,2.22,0.98
6.565,-0.19,2.23,0.90
6.567,-0.31,2.21,0.94
6.568,-0.23,2.16,0.94
6.569,-0.23,2.03,1.14
6.570,-0.19,1.94,1.02
6.571,-0.11,1.79,1.04
6.572,0.06,1.63,0.98
6.574,0.09,1.57,0.74
6.577,0.01,1.34,0.41
6.587,0.03,1.15,0.09
6.589,0.05,0.89,-0.48
6.592,-0.03,0.65,-1.23
6.627,-0.17,0.38,-1.89
6.628,0.08,0.17,-2.58
6.629,-0.09,-0.21,-3.39
6.630,-0.14,-0.57,-4.18
6.630,0.02,-0.85,-4.77
6.631,-0.18,-1.22,-5.23
6.632,-0.50,-1.53,-5.31
6.633,-0.91,-1.78,-5.09
6.637,-1.29,-1.98,-4.56
6.642,-1.78,-2.06,-3.79
6.647,-2.03,-2.11,-2.90
6.653,-2.25,-2.04,-2.45
6.657,-2.55,-1.88,-2.17
6.662,-2.81,-1.72,-2.16
6.668,-2.87,-1.59,-2.40
6.673,-2.66,-1.29,-2.70
6.677,-2.17,-1.10,-2.83
6.693,-1.70,-0.94,-2.63
6.695,-1.24,-0.70,-2.29
6.699,-0.95,-0.47,-1.83
6.701,-0.83,-0.11,-1.35
6.729,-0.77,0.23,-0.85
6.731,-0.71,0.63,-0.39
6.734,-0.76,1.05,-0.13
6.735,-0.86,1.51,-0.04
6.736,-0.86,1.97,0.02
6.741,-1.00,2.29,0.02
6.742,-1.22,2.59,0.04
6.743,-1.35,2.81,0.32
6.744,-1.31,2.76,1.14
6.748,-1.07,2.60,2.33
6.753,-0.65,2.18,3.51
6.758,-0.07,1.46,4.25
6.763,0.77,0.69,4.29
6.768,1.95,-0.18,3.63
6.772,3.18,-1.20,1.96
6.777,4.24,-2.48,-1.01
6.784,4.78,-4.12,-5.01
6.788,4.67,-5.85,-8.62
6.793,4.04,-7.47,-10.05
6.799,3.29,-8.72,-8.51
6.803,2.68,-9.66,-5.04
6.808,2.33,-10.53,-1.27
6.813,2.24,-11.11,1.89
6.818,2.29,-11.08,4.49
6.823,2.19,-10.43,6.35
6.828,1.80,-8.98,7.18
6.833,1.46,-6.47,7.43
6.838,1.46,-3.50,7.12
6.843,1.88,-0.68,6.42
6.848,2.42,1.64,5.57
6.854,2.98,3.40,4.44
6.858,3.51,4.73,3.40
6.863,3.94,5.63,2.72
6.869,4.25,6.17,2.40
6.874,4.26,6.30,2.63
6.879,4.08,6.08,3.42
6.888,3.98,5.54,4.42
6.890,3.95,4.58,5.50
6.894,3.86,3.31,6.59
6.940,3.59,2.07,7.30
6.942,3.22,0.88,7.75
6.943,2.87,-0.34,7.93
6.945,2.50,-1.66,7.75
6.946,2.10,-3.05,7.26
6.948,1.65,-4.15,6.38
6.949,1.13,-4.97,4.93
6.950,0.39,-5.49,3.07
6.951,-0.53,-5.75,1.19
6.953,-1.32,-5.68,-0.47
6.954,-1.74,-5.46,-1.42
6.955,-1.91,-5.10,-1.69
6.959,-1.83,-4.46,-1.42
6.964,-1.46,-3.78,-0.63
6.970,-1.08,-3.06,0.32
6.975,-0.66,-2.29,1.30
6.980,-0.25,-1.72,1.97
6.991,-0.09,-1.26,2.32
6.995,0.09,-0.68,2.47
6.996,0.17,-0.10,2.43
7.042,0.14,0.26,2.42
7.044,0.26,0.69,2.32
7.045,0.31,1.07,2.18
7.045,0.26,1.30,1.94
7.046,0.24,1.58,1.62
7.047,0.26,1.82,1.22
7.048,0.29,1.95,0.90
7.049,0.37,1.90,0.59
7.050,0.40,1.86,0.33
7.051,0.52,1.66,0.17
7.051,0.59,1.52,0.03
7.055,0.69,1.28,-0.15
7.060,0.66,0.87,-0.11
7.065,0.62,0.53,-0.08
7.070,0.52,0.34,-0.00
7.075,0.46,0.17,0.07
7.080,0.15,0.06,0.14
7.089,-0.07,-0.07,0.15
7.091,-0.30,-0.13,0.07
7.096,-0.42,-0.07,-0.03
7.143,-0.64,-0.09,-0.20
7.145,-0.77,-0.05,-0.17
7.146,-0.91,0.06,-0.40
7.147,-1.06,0.01,-0.36
7.148,-1.02,0.10,-0.43
7.151,-1.06,0.09,-0.51
7.152,-1.03,-0.05,-0.47
7.152,-1.02,-0.03,-0.51
7.153,-0.99,0.03,-0.50
7.156,-1.02,-0.04,-0.49
7.157,-1.02,0.10,-0.56
7.157,-1.01,0.07,-0.60
7.160,-0.95,0.15,-0.50
7.165,-0.95,0.14,-0.48
7.172,-0.92,0.17,-0.60
7.175,-0.84,0.26,-0.57
7.180,-0.96,0.22,-0.51
7.202,-0.83,0.29,-0.49
7.204,-0.74,0.28,-0.54
7.205,-0.65,0.35,-0.57
7.205,-0.70,0.38,-0.66
7.206,-0.69,0.33,-0.62
7.210,-0.52,0.37,-0.74
7.215,-0.22,0.35,-0.79
7.220,-0.10,0.41,-0.89
7.225,-0.03,0.30,-1.06
7.230,0.15,0.30,-1.02
7.235,0.25,0.31,-0.58
7.240,-0.23,1.75,11.43
7.245,-0.93,1.74,8.46
7.250,-0.02,0.96,2.11
7.256,1.31,0.48,0.33
7.261,2.15,0.27,-1.67
7.266,2.60,-0.06,-5.08
7.271,2.80,-0.26,-7.34
7.272,2.45,-0.34,-7.67
7.277,1.64,-0.29,-6.89
7.281,1.01,-0.45,-5.81
7.293,0.47,-0.49,-4.29
7.294,0.06,-0.59,-2.76
7.296,-0.34,-0.75,-1.35
7.326,-0.47,-0.84,-0.60
7.327,-0.47,-1.05,-0.40
7.328,-0.56,-0.89,-0.47
7.328,-0.96,-0.76,-0.60
7.328,-1.41,-0.52,-0.89
7.329,-1.81,-0.33,-1.34
7.331,-2.08,-0.09,-1.48
7.336,-2.21,-0.00,-1.41
7.341,-2.35,-0.11,-1.21
7.346,-2.37,-0.27,-1.00
7.351,-2.32,-0.42,-0.62
7.356,-2.37,-0.38,-0.38
7.361,-2.37,-0.47,-0.38
7.367,-2.24,-0.49,-0.50
7.372,-2.15,-0.61,-0.72
7.378,-1.90,-0.82,-0.98
7.383,-1.72,-0.77,-1.05
7.395,-1.59,-0.81,-1.19
7.398,-1.51,-0.93,-1.28
7.400,-1.20,-1.05,-1.44
7.404,-0.81,-0.96,-1.54
7.436,-0.48,-0.86,-1.54
7.438,-0.27,-0.86,-1.47
7.441,-0.14,-0.88,-1.45
7.443,0.23,-0.96,-1.46
7.444,0.61,-0.95,-1.77
7.445,0.84,-1.02,-2.16
7.447,0.80,-1.31,-2.30
7.449,0.40,-1.64,-2.28
7.451,-0.16,-1.98,-2.14
7.453,-0.78,-2.20,-2.22
7.457,-1.36,-2.35,-2.33
7.462,-2.00,-2.45,-2.45
7.467,-2.65,-2.58,-2.50
7.473,-3.12,-2.72,-2.67
7.478,-3.52,-2.75,-2.82
7.483,-3.81,-2.66,-2.79
7.492,-3.94,-2.60,-2.85
7.494,-4.29,-2.57,-2.98
7.498,-4.61,-2.45,-3.17
7.503,-4.75,-2.48,-3.43
7.530,-4.75,-2.69,-3.75
7.531,-4.64,-2.95,-3.91
7.533,-4.42,-3.20,-3.78
7.533,-4.09,-3.42,-3.57
7.534,-3.75,-3.61,-3.58
7.535,-3.28,-3.76,-3.74
7.537,-2.69,-3.76,-4.14
7.542,-2.07,-3.73,-4.62
7.547,-1.50,-3.76,-5.03
7.552,-1.03,-3.58,-5.25
7.558,-0.73,-3.43,-5.34
7.563,-0.60,-3.36,-5.18
7.568,-0.49,-3.26,-4.95
7.573,-0.39,-3.08,-4.58
7.578,-0.22,-2.93,-3.90
7.584,-0.05,-2.92,-3.12
7.600,0.13,-2.82,-2.30
7.603,0.35,-2.75,-1.50
7.604,0.60,-2.90,-0.79
7.605,0.89,-3.02,-0.08
7.634,1.15,-3.08,0.70
7.636,1.35,-3.18,1.60
7.637,1.48,-3.27,2.36
7.638,1.58,-3.34,2.85
7.639,1.77,-3.38,3.20
7.640,2.00,-3.40,3.35
7.641,2.17,-3.34,3.37
7.644,2.36,-3.17,3.24
7.649,2.54,-2.85,2.98
7.654,2.60,-2.53,2.61
7.658,2.58,-2.32,2.11
7.663,2.43,-2.11,1.83
7.669,2.16,-1.89,1.66
7.674,1.76,-1.65,1.43
7.679,1.33,-1.33,1.35
7.684,0.90,-1.09,1.37
7.693,0.50,-1.03,1.40
7.695,0.15,-1.00,1.47
7.699,0.10,-1.02,1.58
7.704,0.36,-1.04,1.68
7.759,0.60,-1.19,1.72
7.761,0.79,-1.30,1.64
7.763,1.01,-1.27,1.44
7.764,1.24,-1.18,1.25
7.772,1.37,-1.06,1.20
7.776,1.33,-0.84,1.25
7.778,1.26,-0.57,1.31
7.780,1.23,-0.31,1.38
7.782,1.28,-0.17,1.47
7.783,1.24,-0.07,1.61
7.785,1.32,0.09,1.71
7.785,1.42,0.17,1.72
7.787,1.54,0.23,1.83
7.788,1.67,0.15,1.95
7.789,1.78,0.12,2.06
7.790,1.99,0.10,2.20
7.791,2.14,0.07,2.29
7.795,2.19,0.15,2.39
7.801,2.22,0.16,2.42
7.805,2.10,0.16,2.52
7.810,2.00,0.22,2.60
7.814,1.94,0.38,2.63
7.820,1.96,0.48,2.73
7.827,2.02,0.63,2.98
7.829,2.15,0.84,3.07
7.834,2.34,1.02,3.23
7.875,2.67,1.24,3.54
7.876,2.89,1.42,3.56
7.878,3.08,1.56,3.48
7.880,3.37,1.69,3.54
7.881,3.53,1.75,3.47
7.881,3.68,1.83,3.36
7.883,3.92,1.88,3.26
7.884,4.12,1.94,3.15
7.885,4.16,2.00,3.13
7.886,4.17,2.19,3.15
7.890,4.11,2.29,3.07
7.895,3.94,2.32,2.94
7.900,3.86,2.49,2.82
