time,ax,ay,az
0.911,-0.97,-1.45,-0.47
0.916,-1.22,-1.26,0.24
0.921,-1.41,-1.20,0.70
0.926,-1.56,-1.35,1.10
0.931,-1.35,-1.45,1.27
0.937,-0.75,-1.52,1.36
0.941,-0.33,-1.52,0.96
0.946,-0.11,-1.27,0.17
0.952,-0.12,-0.79,-0.24
0.956,-0.14,-0.38,-0.19
0.962,-0.14,-0.17,0.11
0.968,-0.12,-0.14,0.53
0.972,-0.07,-0.01,0.79
0.977,0.11,0.02,0.83
0.982,0.47,0.03,0.91
0.987,0.80,-0.01,1.49
0.992,0.68,0.08,1.76
0.997,0.44,0.35,1.41
1.002,0.23,0.78,1.03
1.007,-0.04,1.17,0.71
1.012,-0.39,1.60,0.23
1.017,-0.83,1.94,-0.00
1.022,-1.26,2.42,-0.28
1.027,-1.49,2.82,-0.49
1.032,-1.61,3.15,-0.55
1.037,-1.76,3.51,-0.67
1.042,-1.95,3.82,-0.72
1.047,-2.00,4.12,-0.68
1.052,-0.24,4.45,-0.39
1.057,-0.40,4.32,-1.52
1.062,-2.79,4.15,-2.81
1.069,-4.21,4.35,-2.75
1.073,-3.83,4.63,-2.33
1.078,-2.62,4.57,-2.04
1.083,-1.83,4.24,-1.81
1.090,-1.48,3.65,-1.77
1.093,-1.03,3.01,-1.89
1.098,-0.44,2.58,-2.14
1.103,-0.08,2.28,-2.52
1.108,0.76,1.53,-3.19
1.113,1.05,0.87,-3.89
1.119,0.08,1.21,-3.74
1.123,-0.62,1.99,-2.71
1.128,-0.67,2.28,-1.75
1.133,-0.44,1.60,-1.44
1.138,-0.20,0.84,-1.73
1.143,0.07,0.56,-1.62
1.148,0.41,0.60,-0.88
1.153,0.80,0.58,-0.39
1.158,0.95,0.20,-0.11
1.163,1.00,-0.36,-0.16
1.171,1.12,-0.89,-0.78
1.176,0.95,-0.86,-0.91
1.179,0.64,0.09,0.40
1.183,0.49,0.52,1.35
1.189,0.24,-0.09,0.92
1.193,-0.19,-0.65,1.16
1.198,-0.17,-1.13,1.59
1.203,0.33,-1.54,1.66
1.208,0.81,-1.74,1.56
1.213,1.15,-1.41,1.82
1.218,1.43,-0.96,2.04
1.223,1.47,-0.89,1.44
1.228,1.00,-1.23,1.09
1.234,0.78,-1.23,1.17
1.238,1.01,-0.79,0.44
1.243,0.79,-0.33,-0.53
1.248,0.40,-0.21,-0.31
1.254,0.37,-0.62,-0.01
1.259,0.51,-0.80,0.35
1.263,0.64,-0.90,0.64
1.271,1.03,-1.16,1.17
1.274,1.39,-1.51,1.37
1.279,1.42,-1.77,1.47
1.284,0.92,-1.86,1.36
1.289,0.75,-1.29,0.89
1.294,0.38,-0.69,0.57
1.299,-0.10,-0.18,0.34
1.304,-0.45,0.24,0.16
1.309,-0.28,0.52,0.13
1.314,0.10,0.61,0.19
1.319,0.15,0.72,0.28
1.324,0.49,0.90,0.39
1.329,1.06,0.98,0.52
1.334,1.33,0.91,0.68
1.339,1.48,0.82,0.79
1.344,1.28,0.74,0.94
1.349,0.61,0.53,1.14
1.355,-0.04,0.44,1.37
1.359,-0.88,0.34,1.96
1.364,-1.46,0.10,2.14
1.371,-1.72,-0.24,2.12
1.374,-1.87,-0.63,1.92
1.379,-1.95,-1.05,1.56
1.384,-1.67,-1.59,1.25
1.389,-1.32,-2.16,1.00
1.394,-0.98,-2.38,0.85
1.399,-0.77,-2.42,0.66
1.404,-0.59,-2.36,0.58
1.409,-0.49,-2.27,0.50
1.414,-0.13,-2.24,0.42
1.420,0.20,-1.94,0.38
1.425,0.70,-1.78,0.15
1.430,1.26,-1.86,0.21
1.435,1.62,-2.03,0.23
1.440,1.55,-1.83,0.05
1.445,1.16,-1.34,-0.12
1.450,1.07,-0.87,-0.44
1.457,1.06,-0.44,-1.10
1.460,0.86,-0.02,-1.57
1.465,0.67,0.38,-1.77
1.473,0.64,0.63,-1.59
1.475,0.47,0.77,-1.23
1.480,0.31,0.75,-0.88
1.485,0.21,0.72,-0.66
1.491,0.11,0.66,-0.51
